No.,Match Week,Date,Player,Team,Match,Time of Penalty Awarded,Scored,Final Results,Foot,Kick_Direction,Keeper_Direction,Saved
60,18,26-Dec-16,Troy Deeney,Watford,Watford vs Crystal Palace,71,Scored,42736,R,C,R,
61,18,26-Dec-16,Yaya Touré,Man City,Hull vs Man City,72,Scored,0-3,R,L,R,
62,18,28-Dec-16,Harry Kane,Tottenham,Southampton vs Tottenham,58,Missed,42826,R,L,R,0
63,19,31-Dec-16,Ashley Barnes,Burnley,Burnley vs Sunderland,67,Scored,42739,R,R,C,
64,20,02-Jan-17,Jermain Defoe,Sunderland,Sunderland vs Liverpool,25,Scored,42768,R,L,L,
65,20,02-Jan-17,Leighton Baines,Everton,Everton vs Southampton,81,Scored,3-0,L,L,R,
66,20,02-Jan-17,Jermain Defoe,Sunderland,Sunderland vs Liverpool,84,Scored,42768,R,L,R,
67,20,03-Jan-17,Callum Wilson,Bournemouth,Bournemouth vs Arsenal,20,Scored,42797,R,R,R,
68,21,14-Jan-17,Junior Stanislas,Bournemouth,Hull vs Bournemouth,3,Scored,42738,R,L,C,
69,21,15-Jan-17,James Milner,Liverpool,Man United vs Liverpool,27,Scored,42736,R,R,R,
70,22,22-Jan-17,Dušan Tadi?,Southampton,Southampton vs Leicester,86,Scored,3-0,L,R,R,
71,22,22-Jan-17,Andre Gray,Burnley,Arsenal vs Burnley,93,Scored,42737,R,C,R,
72,22,22-Jan-17,Alexis Sánchez,Arsenal,Arsenal vs Burnley,98,Scored,42737,R,C,L,
73,23,31-Jan-17,Álvaro Negredo,Middlesbrough,Middlesbrough vs West Brom,17,Scored,42736,L,L,R,
74,23,31-Jan-17,Diego Costa,Chelsea,Liverpool vs Chelsea,77,Missed,42736,R,L,L,1
75,23,01-Feb-17,Yaya Touré,Man City,West Ham vs Man City,67,Scored,0-4,R,L,L,
76,24,04-Feb-17,Harry Kane,Tottenham,Tottenham vs Middlesbrough,58,Scored,1-0,R,R,L,
77,24,04-Feb-17,Ashley Barnes,Burnley,Watford vs Burnley,78,Scored,42737,,,,
78,25,11-Feb-17,Alexis Sánchez,Arsenal,Arsenal vs Hull,93,Scored,2-0,R,L,L,
79,26,25-Feb-17,Troy Deeney,Watford,Watford vs West Ham,3,Scored,42736,R,L,L,
80,26,25-Feb-17,Joshua King,Bournemouth,West Brom vs Bournemouth,5,Scored,42737,R,R,L,
81,26,25-Feb-17,Tom Huddlestone,Hull,Hull vs Burnley,72,Scored,42736,R,L,L,
82,27,04-Mar-17,Joshua King,Bournemouth,Man United vs Bournemouth,40,Scored,42736,R,L,L,
83,27,04-Mar-17,Zlatan Ibrahimovic,Man United,Man United vs Bournemouth,72,Missed,42736,R,L,L,1
84,27,04-Mar-17,Andre Gray,Burnley,Swansea vs Burnley,20,Scored,42769,R,C,L,
85,28,11-Mar-17,Joshua King,Bournemouth,Bournemouth vs West Ham,9,Missed,42769,R,R,L,
86,28,11-Mar-17,Benik Afobe,West Ham,Bournemouth vs West Ham,37,Missed,42769,R,L,L,
87,29,18-Mar-17,Jonathan Walters,Stoke,Stoke vs Chelsea,38,Scored,42767,R,L,L,
88,29,19-Mar-17,Dele Alli,Tottenham,Tottenham vs Southampton,33,Scored,42737,R,L,R,
89,29,19-Mar-17,James Milner,Liverpool,Man City vs Liverpool,51,Scored,42736,R,L,R,
90,30,01-Apr-17,Harry Arter,Bournemouth,Southampton vs Bournemouth,79,Missed,0-0,R,R,L,0
91,31,04-Apr-17,Zlatan Ibrahimovic,Man United,Man United vs Everton,94,Scored,42736,R,R,L,
92,31,05-Apr-17,Eden Hazard,Chelsea,Chelsea vs Man City,35,Missed,42737,R,R,R,1
93,32,10-Apr-17,Luka Milivojevic,Crystal Palace,Crystal Palace vs Arsenal,68,Scored,3-0,R,R,R,
94,33,15-Apr-17,Sam Vokes,Burnley,Everton vs Burnley,52,Scored,42738,R,L,R,
95,34,22-Apr-17,Marko Arnautovic,Stoke,Swansea vs Stoke,69,Missed,2-0,R,C,R,0
96,35,29-Apr-17,Dušan Tadi?,Southampton,Southampton vs Hull,90,Missed,0-0,L,R,R,1
97,35,30-Apr-17,Wayne Rooney,Man United,Man United vs Swansea,48,Scored,42736,R,R,L,
98,35,30-Apr-17,Sergio Agüero,Man City,Middlesbrough vs Man City,69,Scored,42768,R,L,R,
99,35,30-Apr-17,Harry Kane,Tottenham,Tottenham vs Arsenal,58,Scored,2-0,R,L,C,
100,36,07-May-17,James Milner,Liverpool,Liverpool vs Southampton,66,Missed,0-0,R,L,L,1
101,37,13-May-17,Gabriel Jesus,Man City,Man City vs Leicester,36,Scored,42737,R,L,R,
102,37,13-May-17,Shane Long,Southampton,Middlesbrough vs Southampton,64,Missed,42767,R,L,R,0
103,37,13-May-17,Riyad Mahrez,Leicester,Man City vs Leicester,77,Missed,42737,,,,
104,37,14-May-17,Luka Milivojevic,Crystal Palace,Crystal Palace vs Hull,85,Scored,4-0,R,R,L,
105,37,17-May-17,Manolo Gabbiadini,Southampton,Southampton vs Man United,6,Missed,0-0,L,R,R,1
106,38,21-May-17,Romelu Lukaku,Everton,Arsenal vs Everton,58,Scored,42738,L,R,R,
